Z-35b,Z-35a,Z-34b,Z-34a,Z-33b,Z-33a,,,,,,,,,,,,,,,,,,,Z-32b,Z-32a,Z-31b,Z-31a,Z-30b,Z-30a,Z-29b,Z-29a,,Z-28b,Z-28a,Z-27b,Z-27a,Z-26b,Z-26a,Z-25b,Z-25a,,,,,,,,Z-24b,Z-24a,Z-23b,Z-23a,Z-22b,Z-22a,Z-21b,Z-21a,Z-20b,Z-20a,Z-19b,Z-19a,,,,,Z-18b,Z-18a,Z-17b,Z-17a,Z-16b,Z-16a,Z-15b,Z-15a,Z-14b,Z-14a,Z-13b,Z-13a,,,,,Z-12b,Z-12a,Z-11b,Z-11a,Z-10b,Z-10a,Z-09b,Z-09a,Z-08b,Z-08a,Z-07b,Z-07a,,,,,,Z-06b,Z-06a,Z-05b,Z-05a,Z-04b,Z-04a,Z-03b,Z-03a,Z-02b,Z-02a,Z-01b,Z-01a,,,,,,,,,,,,,AA-20,AA-19,AA-18,AA-17,,AA-16,AA-15,,,,AA-14,AA-13,AA-12,AA-11,
,,,,,R-43b,R-18b,#4,#4,#4,#4,Q-43b,Q-18b,#4,#4,#4,#4,P-43b,P-18b,#2,#2,#2,#2,#2,#2,O-43b,O-18b,#4,#4,#4,#4,N-43b,N-18b,#4,#4,#4,#4,M-43b,M-18b,#4,#4,#4,#4,L-43b,L-18b,#4,#4,#4,#4,K-43b,K-18b,#4,#4,#4,#4,J-43b,J-18b,#4,#4,#4,#4,I-43b,I-18b,#2,#2,#2,#2,#2,#2,H-43b,H-18b,#4,#4,#4,#4,G-43b,G-18b,#4,#4,#4,#4,F-43b,F-18b,#4,#4,#4,#4,E-43b,E-18b,#4,#4,#4,#4,D-43b,D-18b,#4,#4,#4,#4,C-43b,C-18b,#4,#4,#4,#4,B-43b,B-18b,,,,,,,,AF-38,AF-15,#4,#4,AE-38,AE-15,#4,#4,AD-38,AD-15,#4,#4,AC-38,AC-15,#4,#4,AB-38,AB-15,,,,
,,,,,R-44a,R-17a,#4,#4,#4,#4,Q-44a,Q-17a,#4,#4,#4,#4,P-44a,P-17a,#2,#2,#2,#2,#2,#2,O-44a,O-17a,#4,#4,#4,#4,N-44a,N-17a,#4,#4,#4,#4,M-44a,M-17a,#4,#4,#4,#4,L-44a,L-17a,#4,#4,#4,#4,K-44a,K-17a,#4,#4,#4,#4,J-44a,J-17a,#4,#4,#4,#4,I-44a,I-17a,#2,#2,#2,#2,#2,#2,H-44a,H-17a,#4,#4,#4,#4,G-44a,G-17a,#4,#4,#4,#4,F-44a,F-17a,#4,#4,#4,#4,E-44a,E-17a,#4,#4,#4,#4,D-44a,D-17a,#4,#4,#4,#4,C-44a,C-17a,#4,#4,#4,#4,B-44a,B-17a,,,,,,,,AF-38,AF-15,#4,#4,AE-38,AE-15,#4,#4,AD-38,AD-15,#4,#4,AC-38,AC-15,#4,#4,AB-38,AB-15,,,,
,,,,,R-44b,R-17b,#4,#4,#4,#4,Q-44b,Q-17b,#4,#4,#4,#4,P-44b,P-17b,#2,#2,#2,#2,#2,#2,O-44b,O-17b,#4,#4,#4,#4,N-44b,N-17b,#4,#4,#4,#4,M-44b,M-17b,#4,#4,#4,#4,L-44b,L-17b,#4,#4,#4,#4,K-44b,K-17b,#4,#4,#4,#4,J-44b,J-17b,#4,#4,#4,#4,I-44b,I-17b,#2,#2,#2,#2,#2,#2,H-44b,H-17b,#4,#4,#4,#4,G-44b,G-17b,#4,#4,#4,#4,F-44b,F-17b,#4,#4,#4,#4,E-44b,E-17b,#4,#4,#4,#4,D-44b,D-17b,#4,#4,#4,#4,C-44b,C-17b,#4,#4,#4,#4,B-44b,B-17b,,,,,,,,AF-39,AF-14,#4,#4,AE-39,AE-14,#4,#4,AD-39,AD-14,#4,#4,AC-39,AC-14,#4,#4,AB-39,AB-14,,,,
,,,,R-45a,R-45b,R-16a,R-16b,,,Q-45a,Q-45b,Q-16a,Q-16b,,,P-45a,P-45b,P-16a,P-16b,,,,,O-45a,O-45b,O-16a,O-16b,,,N-45a,N-45b,N-16a,N-16b,,,M-45a,M-45b,M-16a,M-16b,,,L-45a,L-45b,L-16a,L-16b,,,K-45a,K-45b,K-16a,K-16b,,,J-45a,J-45b,J-16a,J-16b,,,I-45a,I-45b,I-16a,I-16b,,,,,H-45a,H-45b,H-16a,H-16b,,,G-45a,G-45b,G-16a,G-16b,,,F-45a,F-45b,F-16a,F-16b,,,E-45a,E-45b,E-16a,E-16b,,,D-45a,D-45b,D-16a,D-16b,,,C-45a,C-45b,C-16a,C-16b,,,B-45a,B-45b,B-16a,B-16b,,,,,,,AF-39,AF-14,#4,#4,AE-39,AE-14,#4,#4,AD-39,AD-14,#4,#4,AC-39,AC-14,#4,#4,AB-39,AB-14,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENTRANCE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,R-46b,R-46a,R-15b,R-15a,,,Q-46b,Q-46a,Q-15b,Q-15a,,,P-46b,P-46a,P-15b,P-15a,,,,,O-46b,O-46a,O-15b,O-15a,,,N-46b,N-46a,N-15b,N-15a,,,M-46b,M-46a,M-15b,M-15a,,,L-46b,L-46a,L-15b,L-15a,,,K-46b,K-46a,K-15b,K-15a,,,J-46b,J-46a,J-15b,J-15a,,,I-46b,I-46a,I-15b,I-15a,,,,,H-46b,H-46a,H-15b,H-15a,,,G-46b,G-46a,G-15b,G-15a,,,F-46b,F-46a,F-15b,F-15a,,,E-46b,E-46a,E-15b,E-15a,,,D-46b,D-46a,D-15b,D-15a,,,C-46b,C-46a,C-15b,C-15a,,,B-46b,B-46a,B-15b,B-15a,,,,,,,AF-40,AF-13,#4,#4,AE-40,AE-13,#4,#4,AD-40,AD-13,#4,#4,AC-40,AC-13,#4,#4,AB-40,AB-13,,,,
,,,,,R-47a,R-14a,#4,#4,#4,#4,Q-47a,Q-14a,#4,#4,#4,#4,P-47a,P-14a,#2,#2,#2,#2,#2,#2,O-47a,O-14a,#4,#4,#4,#4,N-47a,N-14a,#4,#4,#4,#4,M-47a,M-14a,#4,#4,#4,#4,L-47a,L-14a,#4,#4,#4,#4,K-47a,K-14a,#4,#4,#4,#4,J-47a,J-14a,#4,#4,#4,#4,I-47a,I-14a,#2,#2,#2,#2,#2,#2,H-47a,H-14a,#4,#4,#4,#4,G-47a,G-14a,#4,#4,#4,#4,F-47a,F-14a,#4,#4,#4,#4,E-47a,E-14a,#4,#4,#4,#4,D-47a,D-14a,#4,#4,#4,#4,C-47a,C-14a,#4,#4,#4,#4,B-47a,B-14a,,,,,,,,AF-40,AF-13,#4,#4,AE-40,AE-13,#4,#4,AD-40,AD-13,#4,#4,AC-40,AC-13,#4,#4,AB-40,AB-13,,,,
,,,,,R-47b,R-14b,#4,#4,#4,#4,Q-47b,Q-14b,#4,#4,#4,#4,P-47b,P-14b,#2,#2,#2,#2,#2,#2,O-47b,O-14b,#4,#4,#4,#4,N-47b,N-14b,#4,#4,#4,#4,M-47b,M-14b,#4,#4,#4,#4,L-47b,L-14b,#4,#4,#4,#4,K-47b,K-14b,#4,#4,#4,#4,J-47b,J-14b,#4,#4,#4,#4,I-47b,I-14b,#2,#2,#2,#2,#2,#2,H-47b,H-14b,#4,#4,#4,#4,G-47b,G-14b,#4,#4,#4,#4,F-47b,F-14b,#4,#4,#4,#4,E-47b,E-14b,#4,#4,#4,#4,D-47b,D-14b,#4,#4,#4,#4,C-47b,C-14b,#4,#4,#4,#4,B-47b,B-14b,,,,,,,,AF-41,AF-12,#4,#4,AE-41,AE-12,#4,#4,AD-41,AD-12,#4,#4,AC-41,AC-12,#4,#4,AB-41,AB-12,,,,
,,,,,R-48a,R-13a,#4,#4,#4,#4,Q-48a,Q-13a,#4,#4,#4,#4,P-48a,P-13a,#2,#2,#2,#2,#2,#2,O-48a,O-13a,#4,#4,#4,#4,N-48a,N-13a,#4,#4,#4,#4,M-48a,M-13a,#4,#4,#4,#4,L-48a,L-13a,#4,#4,#4,#4,K-48a,K-13a,#4,#4,#4,#4,J-48a,J-13a,#4,#4,#4,#4,I-48a,I-13a,#2,#2,#2,#2,#2,#2,H-48a,H-13a,#4,#4,#4,#4,G-48a,G-13a,#4,#4,#4,#4,F-48a,F-13a,#4,#4,#4,#4,E-48a,E-13a,#4,#4,#4,#4,D-48a,D-13a,#4,#4,#4,#4,C-48a,C-13a,#4,#4,#4,#4,B-48a,B-13a,,,,,,,,AF-41,AF-12,#4,#4,AE-41,AE-12,#4,#4,AD-41,AD-12,#4,#4,AC-41,AC-12,#4,#4,AB-41,AB-12,,,,
,,,,,R-48b,R-13b,#4,#4,#4,#4,Q-48b,Q-13b,#4,#4,#4,#4,P-48b,P-13b,#2,#2,#2,#2,#2,#2,O-48b,O-13b,#4,#4,#4,#4,N-48b,N-13b,#4,#4,#4,#4,M-48b,M-13b,#4,#4,#4,#4,L-48b,L-13b,#4,#4,#4,#4,K-48b,K-13b,#4,#4,#4,#4,J-48b,J-13b,#4,#4,#4,#4,I-48b,I-13b,#2,#2,#2,#2,#2,#2,H-48b,H-13b,#4,#4,#4,#4,G-48b,G-13b,#4,#4,#4,#4,F-48b,F-13b,#4,#4,#4,#4,E-48b,E-13b,#4,#4,#4,#4,D-48b,D-13b,#4,#4,#4,#4,C-48b,C-13b,#4,#4,#4,#4,B-48b,B-13b,,,,,,,,AF-42,AF-11,#4,#4,AE-42,AE-11,#4,#4,AD-42,AD-11,#4,#4,AC-42,AC-11,#4,#4,AB-42,AB-11,,,,
,,,,,R-49a,R-12a,#4,#4,#4,#4,Q-49a,Q-12a,#4,#4,#4,#4,P-49a,P-12a,#2,#2,#2,#2,#2,#2,O-49a,O-12a,#4,#4,#4,#4,N-49a,N-12a,#4,#4,#4,#4,M-49a,M-12a,#4,#4,#4,#4,L-49a,L-12a,#4,#4,#4,#4,K-49a,K-12a,#4,#4,#4,#4,J-49a,J-12a,#4,#4,#4,#4,I-49a,I-12a,#2,#2,#2,#2,#2,#2,H-49a,H-12a,#4,#4,#4,#4,G-49a,G-12a,#4,#4,#4,#4,F-49a,F-12a,#4,#4,#4,#4,E-49a,E-12a,#4,#4,#4,#4,D-49a,D-12a,#4,#4,#4,#4,C-49a,C-12a,#4,#4,#4,#4,B-49a,B-12a,,,,,,,,AF-42,AF-11,#4,#4,AE-42,AE-11,#4,#4,AD-42,AD-11,#4,#4,AC-42,AC-11,#4,#4,AB-42,AB-11,,,,
,,,,,R-49b,R-12b,#4,#4,#4,#4,Q-49b,Q-12b,#4,#4,#4,#4,P-49b,P-12b,#2,#2,#2,#2,#2,#2,O-49b,O-12b,#4,#4,#4,#4,N-49b,N-12b,#4,#4,#4,#4,M-49b,M-12b,#4,#4,#4,#4,L-49b,L-12b,#4,#4,#4,#4,K-49b,K-12b,#4,#4,#4,#4,J-49b,J-12b,#4,#4,#4,#4,I-49b,I-12b,#2,#2,#2,#2,#2,#2,H-49b,H-12b,#4,#4,#4,#4,G-49b,G-12b,#4,#4,#4,#4,F-49b,F-12b,#4,#4,#4,#4,E-49b,E-12b,#4,#4,#4,#4,D-49b,D-12b,#4,#4,#4,#4,C-49b,C-12b,#4,#4,#4,#4,B-49b,B-12b,,,,,,,,AF-43,AF-10,#4,#4,AE-43,AE-10,#4,#4,AD-43,AD-10,#4,#4,AC-43,AC-10,#4,#4,AB-43,AB-10,,,,
,,,,,R-50a,R-11a,#4,#4,#4,#4,Q-50a,Q-11a,#4,#4,#4,#4,P-50a,P-11a,#2,#2,#2,#2,#2,#2,O-50a,O-11a,#4,#4,#4,#4,N-50a,N-11a,#4,#4,#4,#4,M-50a,M-11a,#4,#4,#4,#4,L-50a,L-11a,#4,#4,#4,#4,K-50a,K-11a,#4,#4,#4,#4,J-50a,J-11a,#4,#4,#4,#4,I-50a,I-11a,#2,#2,#2,#2,#2,#2,H-50a,H-11a,#4,#4,#4,#4,G-50a,G-11a,#4,#4,#4,#4,F-50a,F-11a,#4,#4,#4,#4,E-50a,E-11a,#4,#4,#4,#4,D-50a,D-11a,#4,#4,#4,#4,C-50a,C-11a,#4,#4,#4,#4,B-50a,B-11a,,,,,,,,AF-43,AF-10,#4,#4,AE-43,AE-10,#4,#4,AD-43,AD-10,#4,#4,AC-43,AC-10,#4,#4,AB-43,AB-10,,,,
,,,,,R-50b,R-11b,#4,#4,#4,#4,Q-50b,Q-11b,#4,#4,#4,#4,P-50b,P-11b,#2,#2,#2,#2,#2,#2,O-50b,O-11b,#4,#4,#4,#4,N-50b,N-11b,#4,#4,#4,#4,M-50b,M-11b,#4,#4,#4,#4,L-50b,L-11b,#4,#4,#4,#4,K-50b,K-11b,#4,#4,#4,#4,J-50b,J-11b,#4,#4,#4,#4,I-50b,I-11b,#2,#2,#2,#2,#2,#2,H-50b,H-11b,#4,#4,#4,#4,G-50b,G-11b,#4,#4,#4,#4,F-50b,F-11b,#4,#4,#4,#4,E-50b,E-11b,#4,#4,#4,#4,D-50b,D-11b,#4,#4,#4,#4,C-50b,C-11b,#4,#4,#4,#4,B-50b,B-11b,,,,,,,,AF-44,AF-09,#4,#4,AE-44,AE-09,#4,#4,AD-44,AD-09,#4,#4,AC-44,AC-09,#4,#4,AB-44,AB-09,,,,
,,,,,R-51a,R-10a,#4,#4,#4,#4,Q-51a,Q-10a,#4,#4,#4,#4,P-51a,P-10a,#2,#2,#2,#2,#2,#2,O-51a,O-10a,#4,#4,#4,#4,N-51a,N-10a,#4,#4,#4,#4,M-51a,M-10a,#4,#4,#4,#4,L-51a,L-10a,#4,#4,#4,#4,K-51a,K-10a,#4,#4,#4,#4,J-51a,J-10a,#4,#4,#4,#4,I-51a,I-10a,#2,#2,#2,#2,#2,#2,H-51a,H-10a,#4,#4,#4,#4,G-51a,G-10a,#4,#4,#4,#4,F-51a,F-10a,#4,#4,#4,#4,E-51a,E-10a,#4,#4,#4,#4,D-51a,D-10a,#4,#4,#4,#4,C-51a,C-10a,#4,#4,#4,#4,B-51a,B-10a,,,,,,,,AF-44,AF-09,#4,#4,AE-44,AE-09,#4,#4,AD-44,AD-09,#4,#4,AC-44,AC-09,#4,#4,AB-44,AB-09,,,,
,,,,,R-51b,R-10b,#4,#4,#4,#4,Q-51b,Q-10b,#4,#4,#4,#4,P-51b,P-10b,#2,#2,#2,#2,#2,#2,O-51b,O-10b,#4,#4,#4,#4,N-51b,N-10b,#4,#4,#4,#4,M-51b,M-10b,#4,#4,#4,#4,L-51b,L-10b,#4,#4,#4,#4,K-51b,K-10b,#4,#4,#4,#4,J-51b,J-10b,#4,#4,#4,#4,I-51b,I-10b,#2,#2,#2,#2,#2,#2,H-51b,H-10b,#4,#4,#4,#4,G-51b,G-10b,#4,#4,#4,#4,F-51b,F-10b,#4,#4,#4,#4,E-51b,E-10b,#4,#4,#4,#4,D-51b,D-10b,#4,#4,#4,#4,C-51b,C-10b,#4,#4,#4,#4,B-51b,B-10b,,,,,,,,AF-45,AF-08,#4,#4,AE-45,AE-08,#4,#4,AD-45,AD-08,#4,#4,AC-45,AC-08,#4,#4,AB-45,AB-08,,,,
,,,,,R-52a,R-09a,#4,#4,#4,#4,Q-52a,Q-09a,#4,#4,#4,#4,P-52a,P-09a,#2,#2,#2,#2,#2,#2,O-52a,O-09a,#4,#4,#4,#4,N-52a,N-09a,#4,#4,#4,#4,M-52a,M-09a,#4,#4,#4,#4,L-52a,L-09a,#4,#4,#4,#4,K-52a,K-09a,#4,#4,#4,#4,J-52a,J-09a,#4,#4,#4,#4,I-52a,I-09a,#2,#2,#2,#2,#2,#2,H-52a,H-09a,#4,#4,#4,#4,G-52a,G-09a,#4,#4,#4,#4,F-52a,F-09a,#4,#4,#4,#4,E-52a,E-09a,#4,#4,#4,#4,D-52a,D-09a,#4,#4,#4,#4,C-52a,C-09a,#4,#4,#4,#4,B-52a,B-09a,,,,,,,,AF-45,AF-08,#4,#4,AE-45,AE-08,#4,#4,AD-45,AD-08,#4,#4,AC-45,AC-08,#4,#4,AB-45,AB-08,,,,
,,,,,R-52b,R-09b,#4,#4,#4,#4,Q-52b,Q-09b,#4,#4,#4,#4,P-52b,P-09b,#2,#2,#2,#2,#2,#2,O-52b,O-09b,#4,#4,#4,#4,N-52b,N-09b,#4,#4,#4,#4,M-52b,M-09b,#4,#4,#4,#4,L-52b,L-09b,#4,#4,#4,#4,K-52b,K-09b,#4,#4,#4,#4,J-52b,J-09b,#4,#4,#4,#4,I-52b,I-09b,#2,#2,#2,#2,#2,#2,H-52b,H-09b,#4,#4,#4,#4,G-52b,G-09b,#4,#4,#4,#4,F-52b,F-09b,#4,#4,#4,#4,E-52b,E-09b,#4,#4,#4,#4,D-52b,D-09b,#4,#4,#4,#4,C-52b,C-09b,#4,#4,#4,#4,B-52b,B-09b,,,,,,,,AF-46,AF-07,#4,#4,AE-46,AE-07,#4,#4,AD-46,AD-07,#4,#4,AC-46,AC-07,#4,#4,AB-46,AB-07,,,,
,,,,R-53a,R-53b,R-08a,R-08b,,,Q-53a,Q-53b,Q-08a,Q-08b,,,P-53a,P-53b,P-08a,P-08b,,,,,O-53a,O-53b,O-08a,O-08b,,,N-53a,N-53b,N-08a,N-08b,,,M-53a,M-53b,M-08a,M-08b,,,L-53a,L-53b,L-08a,L-08b,,,K-53a,K-53b,K-08a,K-08b,,,J-53a,J-53b,J-08a,J-08b,,,I-53a,I-53b,I-08a,I-08b,,,,,H-53a,H-53b,H-08a,H-08b,,,G-53a,G-53b,G-08a,G-08b,,,F-53a,F-53b,F-08a,F-08b,,,E-53a,E-53b,E-08a,E-08b,,,D-53a,D-53b,D-08a,D-08b,,,C-53a,C-53b,C-08a,C-08b,,,B-53a,B-53b,B-08a,B-08b,,,,,,,AF-46,AF-07,#4,#4,AE-46,AE-07,#4,#4,AD-46,AD-07,#4,#4,AC-46,AC-07,#4,#4,AB-46,AB-07,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,R-54b,R-54a,R-07b,R-07a,,,Q-54b,Q-54a,Q-07b,Q-07a,,,P-54b,P-54a,P-07b,P-07a,,,,,O-54b,O-54a,O-07b,O-07a,,,N-54b,N-54a,N-07b,N-07a,,,M-54b,M-54a,M-07b,M-07a,,,L-54b,L-54a,L-07b,L-07a,,,K-54b,K-54a,K-07b,K-07a,,,J-54b,J-54a,J-07b,J-07a,,,I-54b,I-54a,I-07b,I-07a,,,,,H-54b,H-54a,H-07b,H-07a,,,G-54b,G-54a,G-07b,G-07a,,,F-54b,F-54a,F-07b,F-07a,,,E-54b,E-54a,E-07b,E-07a,,,D-54b,D-54a,D-07b,D-07a,,,C-54b,C-54a,C-07b,C-07a,,,B-54b,B-54a,B-07b,B-07a,,,,,,,AF-47,AF-06,#4,#4,AE-47,AE-06,#4,#4,AD-47,AD-06,#4,#4,AC-47,AC-06,#4,#4,AB-47,AB-06,,,,
,,,,,R-55a,R-06a,#4,#4,#4,#4,Q-55a,Q-06a,#4,#4,#4,#4,P-55a,P-06a,#2,#2,#2,#2,#2,#2,O-55a,O-06a,#4,#4,#4,#4,N-55a,N-06a,#4,#4,#4,#4,M-55a,M-06a,#4,#4,#4,#4,L-55a,L-06a,#4,#4,#4,#4,K-55a,K-06a,#4,#4,#4,#4,J-55a,J-06a,#4,#4,#4,#4,I-55a,I-06a,#2,#2,#2,#2,#2,#2,H-55a,H-06a,#4,#4,#4,#4,G-55a,G-06a,#4,#4,#4,#4,F-55a,F-06a,#4,#4,#4,#4,E-55a,E-06a,#4,#4,#4,#4,D-55a,D-06a,#4,#4,#4,#4,C-55a,C-06a,#4,#4,#4,#4,B-55a,B-06a,,,,,,,,AF-47,AF-06,#4,#4,AE-47,AE-06,#4,#4,AD-47,AD-06,#4,#4,AC-47,AC-06,#4,#4,AB-47,AB-06,,,,
,,,,,R-55b,R-06b,#4,#4,#4,#4,Q-55b,Q-06b,#4,#4,#4,#4,P-55b,P-06b,#2,#2,#2,#2,#2,#2,O-55b,O-06b,#4,#4,#4,#4,N-55b,N-06b,#4,#4,#4,#4,M-55b,M-06b,#4,#4,#4,#4,L-55b,L-06b,#4,#4,#4,#4,K-55b,K-06b,#4,#4,#4,#4,J-55b,J-06b,#4,#4,#4,#4,I-55b,I-06b,#2,#2,#2,#2,#2,#2,H-55b,H-06b,#4,#4,#4,#4,G-55b,G-06b,#4,#4,#4,#4,F-55b,F-06b,#4,#4,#4,#4,E-55b,E-06b,#4,#4,#4,#4,D-55b,D-06b,#4,#4,#4,#4,C-55b,C-06b,#4,#4,#4,#4,B-55b,B-06b,,,,,,,,AF-48,AF-05,#4,#4,AE-48,AE-05,#4,#4,AD-48,AD-05,#4,#4,AC-48,AC-05,#4,#4,AB-48,AB-05,,,,
,,,,,R-56a,R-05a,#4,#4,#4,#4,Q-56a,Q-05a,#4,#4,#4,#4,P-56a,P-05a,#2,#2,#2,#2,#2,#2,O-56a,O-05a,#4,#4,#4,#4,N-56a,N-05a,#4,#4,#4,#4,M-56a,M-05a,#4,#4,#4,#4,L-56a,L-05a,#4,#4,#4,#4,K-56a,K-05a,#4,#4,#4,#4,J-56a,J-05a,#4,#4,#4,#4,I-56a,I-05a,#2,#2,#2,#2,#2,#2,H-56a,H-05a,#4,#4,#4,#4,G-56a,G-05a,#4,#4,#4,#4,F-56a,F-05a,#4,#4,#4,#4,E-56a,E-05a,#4,#4,#4,#4,D-56a,D-05a,#4,#4,#4,#4,C-56a,C-05a,#4,#4,#4,#4,B-56a,B-05a,,,,,,,,AF-48,AF-05,#4,#4,AE-48,AE-05,#4,#4,AD-48,AD-05,#4,#4,AC-48,AC-05,#4,#4,AB-48,AB-05,,,,
,,,,,R-56b,R-05b,#4,#4,#4,#4,Q-56b,Q-05b,#4,#4,#4,#4,P-56b,P-05b,#2,#2,#2,#2,#2,#2,O-56b,O-05b,#4,#4,#4,#4,N-56b,N-05b,#4,#4,#4,#4,M-56b,M-05b,#4,#4,#4,#4,L-56b,L-05b,#4,#4,#4,#4,K-56b,K-05b,#4,#4,#4,#4,J-56b,J-05b,#4,#4,#4,#4,I-56b,I-05b,#2,#2,#2,#2,#2,#2,H-56b,H-05b,#4,#4,#4,#4,G-56b,G-05b,#4,#4,#4,#4,F-56b,F-05b,#4,#4,#4,#4,E-56b,E-05b,#4,#4,#4,#4,D-56b,D-05b,#4,#4,#4,#4,C-56b,C-05b,#4,#4,#4,#4,B-56b,B-05b,,,,,,,,AF-49,AF-04,#4,#4,AE-49,AE-04,#4,#4,AD-49,AD-04,#4,#4,AC-49,AC-04,#4,#4,AB-49,AB-04,,,,
,,,,,R-57a,R-04a,#4,#4,#4,#4,Q-57a,Q-04a,#4,#4,#4,#4,P-57a,P-04a,#2,#2,#2,#2,#2,#2,O-57a,O-04a,#4,#4,#4,#4,N-57a,N-04a,#4,#4,#4,#4,M-57a,M-04a,#4,#4,#4,#4,L-57a,L-04a,#4,#4,#4,#4,K-57a,K-04a,#4,#4,#4,#4,J-57a,J-04a,#4,#4,#4,#4,I-57a,I-04a,#2,#2,#2,#2,#2,#2,H-57a,H-04a,#4,#4,#4,#4,G-57a,G-04a,#4,#4,#4,#4,F-57a,F-04a,#4,#4,#4,#4,E-57a,E-04a,#4,#4,#4,#4,D-57a,D-04a,#4,#4,#4,#4,C-57a,C-04a,#4,#4,#4,#4,B-57a,B-04a,,,,,,,,AF-49,AF-04,#4,#4,AE-49,AE-04,#4,#4,AD-49,AD-04,#4,#4,AC-49,AC-04,#4,#4,AB-49,AB-04,,,,
,,,,,R-57b,R-04b,#4,#4,#4,#4,Q-57b,Q-04b,#4,#4,#4,#4,P-57b,P-04b,#2,#2,#2,#2,#2,#2,O-57b,O-04b,#4,#4,#4,#4,N-57b,N-04b,#4,#4,#4,#4,M-57b,M-04b,#4,#4,#4,#4,L-57b,L-04b,#4,#4,#4,#4,K-57b,K-04b,#4,#4,#4,#4,J-57b,J-04b,#4,#4,#4,#4,I-57b,I-04b,#2,#2,#2,#2,#2,#2,H-57b,H-04b,#4,#4,#4,#4,G-57b,G-04b,#4,#4,#4,#4,F-57b,F-04b,#4,#4,#4,#4,E-57b,E-04b,#4,#4,#4,#4,D-57b,D-04b,#4,#4,#4,#4,C-57b,C-04b,#4,#4,#4,#4,B-57b,B-04b,,,,,,,,AF-50,AF-03,#4,#4,AE-50,AE-03,#4,#4,AD-50,AD-03,#4,#4,AC-50,AC-03,#4,#4,AB-50,AB-03,,,,
,,,,,R-58a,R-03a,#4,#4,#4,#4,Q-58a,Q-03a,#4,#4,#4,#4,P-58a,P-03a,#2,#2,#2,#2,#2,#2,O-58a,O-03a,#4,#4,#4,#4,N-58a,N-03a,#4,#4,#4,#4,M-58a,M-03a,#4,#4,#4,#4,L-58a,L-03a,#4,#4,#4,#4,K-58a,K-03a,#4,#4,#4,#4,J-58a,J-03a,#4,#4,#4,#4,I-58a,I-03a,#2,#2,#2,#2,#2,#2,H-58a,H-03a,#4,#4,#4,#4,G-58a,G-03a,#4,#4,#4,#4,F-58a,F-03a,#4,#4,#4,#4,E-58a,E-03a,#4,#4,#4,#4,D-58a,D-03a,#4,#4,#4,#4,C-58a,C-03a,#4,#4,#4,#4,B-58a,B-03a,,,,,,,,AF-50,AF-03,#4,#4,AE-50,AE-03,#4,#4,AD-50,AD-03,#4,#4,AC-50,AC-03,#4,#4,AB-50,AB-03,,,,
