Z-35b,Z-35a,Z-34b,Z-34a,Z-33b,Z-33a,,,,,,,,,,,,,,,,,,,Z-32b,Z-32a,Z-31b,Z-31a,Z-30b,Z-30a,Z-29b,Z-29a,,Z-28b,Z-28a,Z-27b,Z-27a,Z-26b,Z-26a,Z-25b,Z-25a,,,,,,,,Z-24b,Z-24a,Z-23b,Z-23a,Z-22b,Z-22a,Z-21b,Z-21a,Z-20b,Z-20a,Z-19b,Z-19a,,,,,Z-18b,Z-18a,Z-17b,Z-17a,Z-16b,Z-16a,Z-15b,Z-15a,Z-14b,Z-14a,Z-13b,Z-13a,,,,,Z-12b,Z-12a,Z-11b,Z-11a,Z-10b,Z-10a,Z-09b,Z-09a,Z-08b,Z-08a,Z-07b,Z-07a,,,,,,Z-06b,Z-06a,Z-05b,Z-05a,Z-04b,Z-04a,Z-03b,Z-03a,Z-02b,Z-02a,Z-01b,Z-01a,,,,,,,,,,,,,AA-20,AA-19,AA-18,AA-17,,AA-16,AA-15,,,,AA-14,AA-13,AA-12,AA-11,
,,,,,R-34b,R-27b,#4,#4,#4,#4,Q-34b,Q-27b,#4,#4,#4,#4,P-34b,P-27b,#2,#2,#2,#2,#2,#2,O-34b,O-27b,#4,#4,#4,#4,N-34b,N-27b,#4,#4,#4,#4,M-34b,M-27b,#4,#4,#4,#4,L-34b,L-27b,#4,#4,#4,#4,K-34b,K-27b,#4,#4,#4,#4,J-34b,J-27b,#4,#4,#4,#4,I-34b,I-27b,#2,#2,#2,#2,#2,#2,H-34b,H-27b,#4,#4,#4,#4,G-34b,G-27b,#4,#4,#4,#4,F-34b,F-27b,#4,#4,#4,#4,E-34b,E-27b,#4,#4,#4,#4,D-34b,D-27b,#4,#4,#4,#4,C-34b,C-27b,#4,#4,#4,#4,B-34b,B-27b,,,,,,,,AF-30,AF-23,#4,#4,AE-30,AE-23,#4,#4,AD-30,AD-23,#4,#4,AC-30,AC-23,#4,#4,AB-30,AB-23,,,,
,,,,,R-35a,R-26a,#4,#4,#4,#4,Q-35a,Q-26a,#4,#4,#4,#4,P-35a,P-26a,#2,#2,#2,#2,#2,#2,O-35a,O-26a,#4,#4,#4,#4,N-35a,N-26a,#4,#4,#4,#4,M-35a,M-26a,#4,#4,#4,#4,L-35a,L-26a,#4,#4,#4,#4,K-35a,K-26a,#4,#4,#4,#4,J-35a,J-26a,#4,#4,#4,#4,I-35a,I-26a,#2,#2,#2,#2,#2,#2,H-35a,H-26a,#4,#4,#4,#4,G-35a,G-26a,#4,#4,#4,#4,F-35a,F-26a,#4,#4,#4,#4,E-35a,E-26a,#4,#4,#4,#4,D-35a,D-26a,#4,#4,#4,#4,C-35a,C-26a,#4,#4,#4,#4,B-35a,B-26a,,,,,,,,AF-30,AF-23,#4,#4,AE-30,AE-23,#4,#4,AD-30,AD-23,#4,#4,AC-30,AC-23,#4,#4,AB-30,AB-23,,,,
,,,,,R-35b,R-26b,#4,#4,#4,#4,Q-35b,Q-26b,#4,#4,#4,#4,P-35b,P-26b,#2,#2,#2,#2,#2,#2,O-35b,O-26b,#4,#4,#4,#4,N-35b,N-26b,#4,#4,#4,#4,M-35b,M-26b,#4,#4,#4,#4,L-35b,L-26b,#4,#4,#4,#4,K-35b,K-26b,#4,#4,#4,#4,J-35b,J-26b,#4,#4,#4,#4,I-35b,I-26b,#2,#2,#2,#2,#2,#2,H-35b,H-26b,#4,#4,#4,#4,G-35b,G-26b,#4,#4,#4,#4,F-35b,F-26b,#4,#4,#4,#4,E-35b,E-26b,#4,#4,#4,#4,D-35b,D-26b,#4,#4,#4,#4,C-35b,C-26b,#4,#4,#4,#4,B-35b,B-26b,,,,,,,,AF-31,AF-22,#4,#4,AE-31,AE-22,#4,#4,AD-31,AD-22,#4,#4,AC-31,AC-22,#4,#4,AB-31,AB-22,,,,
,,,,,R-36a,R-25a,#4,#4,#4,#4,Q-36a,Q-25a,#4,#4,#4,#4,P-36a,P-25a,#2,#2,#2,#2,#2,#2,O-36a,O-25a,#4,#4,#4,#4,N-36a,N-25a,#4,#4,#4,#4,M-36a,M-25a,#4,#4,#4,#4,L-36a,L-25a,#4,#4,#4,#4,K-36a,K-25a,#4,#4,#4,#4,J-36a,J-25a,#4,#4,#4,#4,I-36a,I-25a,#2,#2,#2,#2,#2,#2,H-36a,H-25a,#4,#4,#4,#4,G-36a,G-25a,#4,#4,#4,#4,F-36a,F-25a,#4,#4,#4,#4,E-36a,E-25a,#4,#4,#4,#4,D-36a,D-25a,#4,#4,#4,#4,C-36a,C-25a,#4,#4,#4,#4,B-36a,B-25a,,,,,,,,AF-31,AF-22,#4,#4,AE-31,AE-22,#4,#4,AD-31,AD-22,#4,#4,AC-31,AC-22,#4,#4,AB-31,AB-22,,,,
,,,,,R-36b,R-25b,#4,#4,#4,#4,Q-36b,Q-25b,#4,#4,#4,#4,P-36b,P-25b,#2,#2,#2,#2,#2,#2,O-36b,O-25b,#4,#4,#4,#4,N-36b,N-25b,#4,#4,#4,#4,M-36b,M-25b,#4,#4,#4,#4,L-36b,L-25b,#4,#4,#4,#4,K-36b,K-25b,#4,#4,#4,#4,J-36b,J-25b,#4,#4,#4,#4,I-36b,I-25b,#2,#2,#2,#2,#2,#2,H-36b,H-25b,#4,#4,#4,#4,G-36b,G-25b,#4,#4,#4,#4,F-36b,F-25b,#4,#4,#4,#4,E-36b,E-25b,#4,#4,#4,#4,D-36b,D-25b,#4,#4,#4,#4,C-36b,C-25b,#4,#4,#4,#4,B-36b,B-25b,,,,,,,,AF-32,AF-21,#4,#4,AE-32,AE-21,#4,#4,AD-32,AD-21,#4,#4,AC-32,AC-21,#4,#4,AB-32,AB-21,,,,
,,,,R-37a,R-37b,R-24a,R-24b,,,Q-37a,Q-37b,Q-24a,Q-24b,,,P-37a,P-37b,P-24a,P-24b,,,,,O-37a,O-37b,O-24a,O-24b,,,N-37a,N-37b,N-24a,N-24b,,,M-37a,M-37b,M-24a,M-24b,,,L-37a,L-37b,L-24a,L-24b,,,K-37a,K-37b,K-24a,K-24b,,,J-37a,J-37b,J-24a,J-24b,,,I-37a,I-37b,I-24a,I-24b,,,,,H-37a,H-37b,H-24a,H-24b,,,G-37a,G-37b,G-24a,G-24b,,,F-37a,F-37b,F-24a,F-24b,,,E-37a,E-37b,E-24a,E-24b,,,D-37a,D-37b,D-24a,D-24b,,,C-37a,C-37b,C-24a,C-24b,,,B-37a,B-37b,B-24a,B-24b,,,,,,,AF-32,AF-21,#4,#4,AE-32,AE-21,#4,#4,AD-32,AD-21,#4,#4,AC-32,AC-21,#4,#4,AB-32,AB-21,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
